               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.11419,0.040209,0,0.0065526,0.50962,0.0046123,0.00060726,0.085528,0.026388,0,0.00012,0.00012,0.09892
1,0.10601,0.045505,0,0.0074124,0.59615,0.0056723,0.00090953,0.079305,0.026637,0,0.00024999,0.00024999,0.09775
2,0.10202,0.044093,0,0.008273,0.60577,0.0060202,0.00099341,0.07313,0.027107,0,0.00037996,0.00037996,0.09658
3,0.099295,0.044389,0,0.0082911,0.64423,0.0075915,0.0012927,0.067873,0.027483,0,0.00050988,0.00050988,0.09541
4,0.091044,0.047764,0,0.0081748,0.625,0.0072358,0.0013057,0.065069,0.027363,0,0.00063972,0.00063972,0.09424
5,0.087619,0.044801,0,0.010133,0.63462,0.0086357,0.001504,0.06213,0.027322,0,0.00076948,0.00076948,0.093069
6,0.08372,0.0489,0,0.010723,0.64423,0.0092968,0.0017069,0.060568,0.027106,0,0.00089912,0.00089912,0.091899
7,0.084913,0.045696,0,0.011361,0.64423,0.0097298,0.0017569,0.059296,0.027091,0,0.0010286,0.0010286,0.090729
8,0.086966,0.04778,0,0.011736,0.65385,0.010335,0.0021182,0.058251,0.027093,0,0.001158,0.001158,0.089558
9,0.082311,0.046393,0,0.011498,0.63462,0.009926,0.0020654,0.057344,0.027034,0,0.0012872,0.0012872,0.088387
10,0.084951,0.048613,0,0.01203,0.66346,0.010811,0.002047,0.056029,0.027032,0,0.0014161,0.0014161,0.087216
11,0.084672,0.04526,0,0.013341,0.61538,0.010869,0.0019428,0.054375,0.027119,0,0.0015449,0.0015449,0.086045
12,0.0814,0.045822,0,0.040126,0.076923,0.020009,0.0037415,0.053908,0.027045,0,0.0016734,0.0016734,0.084873
13,0.078223,0.043965,0,0.020845,0.36538,0.014993,0.0027431,0.054633,0.026569,0,0.0018017,0.0018017,0.083702
14,0.08094,0.051556,0,0.014571,0.35577,0.01177,0.0018293,0.05609,0.025894,0,0.0019297,0.0019297,0.08253
15,0.080143,0.045,0,0.015034,0.51923,0.012758,0.0022803,0.058595,0.025433,0,0.0020574,0.0020574,0.081357
16,0.079091,0.0469,0,0.016458,0.16346,0.011865,0.0020758,0.058469,0.025035,0,0.0021847,0.0021847,0.080185
17,0.082863,0.047771,0,0.014873,0.40385,0.012531,0.0024858,0.059639,0.024722,0,0.0023118,0.0023118,0.079012
18,0.081786,0.051882,0,0.012373,0.38462,0.010744,0.0018809,0.058619,0.025374,0,0.0024384,0.0024384,0.077838
19,0.08268,0.046804,0,0.010765,0.59615,0.0096058,0.0017226,0.060324,0.026156,0,0.0025647,0.0025647,0.076665
20,0.082707,0.043401,0,0.076922,0.019231,0.014844,0.0023437,0.060693,0.025031,0,0.0026906,0.0026906,0.075491
21,0.078772,0.047498,0,0.014705,0.038462,0.0093024,0.0017068,0.059381,0.025365,0,0.002816,0.002816,0.074316
