               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.052461,            0.012922,                   0,            0.017886,             0.15385,           0.0089928,            0.001619,            0.031931,           0.0067869,                   0,          0.00058507,          0.00058507,            0.041135
                  38,            0.053866,            0.012188,                   0,            0.018981,             0.16346,            0.008462,           0.0016125,            0.032577,           0.0068008,                   0,          0.00059946,          0.00059946,            0.040899
                  39,            0.053646,            0.013251,                   0,            0.013723,             0.18269,           0.0080344,           0.0014375,            0.032677,           0.0068031,                   0,          0.00061376,          0.00061376,            0.040664
                  40,            0.053685,            0.013186,                   0,            0.015847,             0.20192,           0.0094252,            0.001401,             0.03349,           0.0067396,                   0,          0.00062797,          0.00062797,            0.040428
                  41,            0.052017,            0.012777,                   0,            0.015035,             0.32692,           0.0098747,           0.0016483,            0.033206,           0.0068109,                   0,          0.00064209,          0.00064209,            0.040192
                  42,            0.052199,            0.012385,                   0,            0.011792,             0.16346,            0.008193,           0.0016206,            0.033936,           0.0068601,                   0,          0.00065612,          0.00065612,            0.039956
                  43,            0.053857,            0.012915,                   0,            0.027499,            0.038462,             0.00882,           0.0014406,            0.035492,           0.0068456,                   0,          0.00067006,          0.00067006,             0.03972
                  44,            0.051643,            0.012285,                   0,            0.010351,                0.25,            0.007651,           0.0012377,            0.036205,           0.0068905,                   0,          0.00068391,          0.00068391,            0.039484
                  45,            0.052294,            0.014009,                   0,            0.046821,            0.028846,           0.0089148,           0.0015582,            0.036684,           0.0068504,                   0,          0.00069766,          0.00069766,            0.039248
                  46,            0.049039,            0.012887,                   0,            0.019381,             0.13462,            0.010544,           0.0020094,            0.035052,           0.0066739,                   0,          0.00071131,          0.00071131,            0.039011
                  47,            0.050121,            0.013591,                   0,            0.040704,            0.019231,           0.0066642,           0.0011803,            0.039211,           0.0069992,                   0,          0.00072486,          0.00072486,            0.038775
                  48,            0.051293,            0.012716,                   0,            0.011898,             0.20192,           0.0085686,           0.0016194,            0.032946,           0.0067899,                   0,           0.0007383,           0.0007383,            0.038538
                  49,            0.050684,            0.013676,                   0,            0.015273,             0.15385,            0.008704,            0.001461,            0.033227,           0.0067497,                   0,          0.00075165,          0.00075165,            0.038302
                  50,            0.047712,            0.013362,                   0,            0.012915,             0.24038,           0.0089481,           0.0015419,            0.034102,           0.0067499,                   0,          0.00076489,          0.00076489,            0.038065
                  51,            0.050488,             0.01264,                   0,            0.010292,             0.22115,           0.0075423,           0.0012289,            0.033781,           0.0067676,                   0,          0.00077802,          0.00077802,            0.037828
                  52,            0.050948,             0.01287,                   0,            0.011715,            0.086538,           0.0072599,           0.0013711,            0.035469,           0.0068564,                   0,          0.00079104,          0.00079104,            0.037591
                  53,            0.047802,            0.012928,                   0,           0.0095943,               0.125,           0.0065017,           0.0012167,            0.036227,           0.0073901,                   0,          0.00080395,          0.00080395,            0.037354
                  54,             0.05128,            0.013252,                   0,           0.0079188,             0.39423,           0.0064248,           0.0011561,            0.035436,           0.0072556,                   0,          0.00081674,          0.00081674,            0.037117
                  55,            0.052296,            0.012744,                   0,           0.0074089,             0.29808,           0.0060318,          0.00098419,            0.036444,            0.007507,                   0,          0.00082942,          0.00082942,            0.036879
                  56,            0.052003,            0.013156,                   0,            0.013011,             0.23077,           0.0082545,           0.0013958,            0.034448,           0.0070371,                   0,          0.00084199,          0.00084199,            0.036642
                  57,            0.045986,            0.013755,                   0,           0.0082283,             0.20192,           0.0064399,           0.0013347,            0.035142,           0.0071076,                   0,          0.00085444,          0.00085444,            0.036404
                  58,            0.051415,            0.013721,                   0,           0.0075344,             0.33654,           0.0056584,           0.0011612,            0.036534,           0.0072963,                   0,          0.00086676,          0.00086676,            0.036167
                  59,            0.045374,            0.012937,                   0,            0.012254,             0.28846,           0.0091414,           0.0015945,            0.034772,           0.0067359,                   0,          0.00087897,          0.00087897,            0.035929
                  60,            0.051126,            0.012909,                   0,             0.01091,             0.32692,           0.0080164,           0.0013971,            0.034245,           0.0067509,                   0,          0.00089105,          0.00089105,            0.035691
                  61,            0.050943,            0.013384,                   0,            0.015585,            0.096154,           0.0076178,            0.001301,             0.03369,           0.0065707,                   0,          0.00090301,          0.00090301,            0.035453
                  62,            0.046808,            0.012273,                   0,            0.010044,             0.16346,            0.006963,           0.0012303,            0.033758,           0.0065519,                   0,          0.00091484,          0.00091484,            0.035215
                  63,            0.048876,            0.013411,                   0,            0.012167,             0.23077,           0.0075242,           0.0013701,            0.033299,           0.0064453,                   0,          0.00092655,          0.00092655,            0.034977
                  64,            0.048896,            0.012801,                   0,            0.012701,             0.32692,             0.00855,           0.0014631,            0.032975,            0.006618,                   0,          0.00093812,          0.00093812,            0.034738
                  65,            0.048754,            0.013228,                   0,            0.010593,             0.14423,           0.0074412,           0.0014501,            0.032906,           0.0065204,                   0,          0.00094957,          0.00094957,              0.0345
                  66,            0.047885,            0.013843,                   0,            0.014272,             0.22115,           0.0091366,           0.0016464,            0.033586,           0.0065572,                   0,          0.00096088,          0.00096088,            0.034261
                  67,            0.049651,            0.012522,                   0,            0.010475,             0.17308,           0.0074057,           0.0012636,            0.034931,           0.0071425,                   0,          0.00097206,          0.00097206,            0.034022
                  68,            0.046568,            0.011648,                   0,            0.011531,             0.17308,           0.0075279,            0.001477,            0.033991,           0.0065644,                   0,           0.0009831,           0.0009831,            0.033783
                  69,            0.050208,            0.014446,                   0,           0.0085496,             0.39423,           0.0063126,           0.0012485,            0.033408,           0.0072926,                   0,          0.00099401,          0.00099401,            0.033544
                  70,            0.048567,            0.013841,                   0,           0.0092038,             0.22115,           0.0064294,           0.0010229,            0.034024,           0.0070636,                   0,           0.0010048,           0.0010048,            0.033305
                  71,            0.048733,            0.013598,                   0,            0.011904,             0.33654,           0.0081699,           0.0016083,            0.033842,           0.0069012,                   0,           0.0010154,           0.0010154,            0.033065
                  72,            0.049262,             0.01313,                   0,             0.01459,             0.29808,           0.0087224,           0.0016051,            0.032826,           0.0068983,                   0,           0.0010259,           0.0010259,            0.032826
                  73,            0.049415,            0.012979,                   0,            0.014429,             0.20192,           0.0086853,           0.0015118,            0.033303,           0.0066143,                   0,           0.0010362,           0.0010362,            0.032586
                  74,            0.049427,            0.012691,                   0,            0.018986,             0.16346,            0.010072,           0.0019619,            0.033374,           0.0065313,                   0,           0.0010464,           0.0010464,            0.032346
                  75,            0.049004,            0.013686,                   0,            0.014799,             0.21154,           0.0089725,           0.0013894,            0.033061,           0.0064189,                   0,           0.0010565,           0.0010565,            0.032107
                  76,            0.048535,            0.013749,                   0,            0.017845,             0.14423,           0.0092091,           0.0017784,            0.032606,           0.0062793,                   0,           0.0010664,           0.0010664,            0.031866
                  77,            0.047408,             0.01229,                   0,            0.011715,             0.32692,              0.0083,           0.0014843,            0.032509,           0.0064123,                   0,           0.0010762,           0.0010762,            0.031626
                  78,            0.050376,            0.012286,                   0,            0.013909,             0.13462,           0.0076246,           0.0012583,            0.032884,           0.0062934,                   0,           0.0010858,           0.0010858,            0.031386
                  79,            0.047916,            0.012551,                   0,           0.0073917,                 0.5,           0.0058585,           0.0010115,            0.032212,           0.0063631,                   0,           0.0010953,           0.0010953,            0.031145
                  80,            0.044971,            0.011991,                   0,            0.010336,             0.20192,           0.0059392,          0.00099491,            0.032219,           0.0065574,                   0,           0.0011046,           0.0011046,            0.030905
                  81,             0.04858,             0.01324,                   0,               0.012,            0.067308,           0.0058536,           0.0011027,            0.032187,           0.0063425,                   0,           0.0011138,           0.0011138,            0.030664
                  82,            0.049341,            0.012561,                   0,            0.039539,            0.038462,           0.0097918,           0.0019629,            0.032042,           0.0062656,                   0,           0.0011228,           0.0011228,            0.030423
                  83,            0.049607,             0.01316,                   0,            0.013111,             0.10577,           0.0064626,           0.0010906,             0.03207,           0.0062474,                   0,           0.0011316,           0.0011316,            0.030182
                  84,            0.048736,            0.013582,                   0,            0.010061,             0.23077,           0.0063262,           0.0011904,            0.031835,           0.0062565,                   0,           0.0011403,           0.0011403,             0.02994
                  85,            0.047972,            0.013037,                   0,            0.012689,             0.14423,           0.0075921,           0.0014252,            0.031866,           0.0062644,                   0,           0.0011489,           0.0011489,            0.029699
                  86,            0.049583,            0.013166,                   0,            0.013224,            0.086538,           0.0081869,           0.0012296,            0.031842,           0.0062424,                   0,           0.0011573,           0.0011573,            0.029457
                  87,             0.04962,            0.014678,                   0,            0.019198,             0.10577,            0.007846,           0.0015316,            0.032035,           0.0062267,                   0,           0.0011655,           0.0011655,            0.029216
                  88,            0.048789,            0.012885,                   0,            0.016823,            0.086538,           0.0077677,           0.0012048,            0.032076,           0.0062045,                   0,           0.0011736,           0.0011736,            0.028974
                  89,            0.049304,            0.012452,                   0,            0.019071,            0.048077,           0.0072544,           0.0014161,            0.031886,           0.0062207,                   0,           0.0011815,           0.0011815,            0.028732
                  90,            0.048497,            0.014348,                   0,            0.025966,            0.048077,           0.0083508,            0.001486,            0.032027,            0.006172,                   0,           0.0011893,           0.0011893,            0.028489
                  91,             0.04875,            0.013534,                   0,            0.011849,             0.20192,           0.0071182,           0.0012257,            0.032179,           0.0061973,                   0,           0.0011969,           0.0011969,            0.028247
                  92,            0.048719,            0.014169,                   0,            0.014982,             0.18269,           0.0087161,           0.0016126,            0.032177,           0.0061647,                   0,           0.0012043,           0.0012043,            0.028004
                  93,             0.04683,            0.011269,                   0,             0.24429,            0.019231,            0.016384,           0.0024568,            0.032173,           0.0061729,                   0,           0.0012116,           0.0012116,            0.027762
                  94,            0.048465,             0.01219,                   0,            0.015099,             0.25962,           0.0092333,           0.0014733,            0.032673,           0.0061451,                   0,           0.0012187,           0.0012187,            0.027519
                  95,            0.047888,            0.013453,                   0,            0.015936,            0.057692,            0.007831,           0.0013787,            0.032131,            0.006202,                   0,           0.0012257,           0.0012257,            0.027276
                  96,            0.048852,            0.013071,                   0,            0.011786,            0.076923,           0.0060783,           0.0010296,            0.032157,           0.0062377,                   0,           0.0012325,           0.0012325,            0.027032
                  97,            0.049361,            0.013286,                   0,           0.0082659,             0.10577,           0.0058659,           0.0009679,            0.032286,           0.0063651,                   0,           0.0012391,           0.0012391,            0.026789
                  98,            0.050694,            0.012847,                   0,           0.0097208,             0.14423,           0.0066049,           0.0014382,            0.032253,           0.0071556,                   0,           0.0012456,           0.0012456,            0.026546
                  99,            0.050003,            0.013462,                   0,           0.0088915,             0.30769,           0.0059338,           0.0010639,            0.032318,           0.0084546,                   0,           0.0012519,           0.0012519,            0.026302
                 100,            0.045364,            0.012517,                   0,           0.0079444,             0.20192,           0.0053803,          0.00094768,            0.032211,             0.00741,                   0,            0.001258,            0.001258,            0.026058
                 101,            0.048107,            0.013031,                   0,             0.01112,             0.21154,           0.0067152,          0.00099339,            0.032308,           0.0068998,                   0,           0.0012639,           0.0012639,            0.025814
                 102,            0.049015,            0.011348,                   0,           0.0077269,             0.18269,            0.005882,           0.0010134,            0.032111,           0.0066513,                   0,           0.0012697,           0.0012697,             0.02557
                 103,            0.049581,             0.01291,                   0,            0.010036,             0.20192,           0.0067305,           0.0011238,            0.031843,           0.0065725,                   0,           0.0012754,           0.0012754,            0.025325
                 104,             0.04811,            0.013462,                   0,             0.01233,             0.16346,            0.007411,           0.0012496,            0.032163,           0.0061781,                   0,           0.0012808,           0.0012808,            0.025081
                 105,            0.048136,             0.01326,                   0,           0.0099877,             0.30769,            0.007575,            0.001331,            0.032014,            0.006134,                   0,           0.0012861,           0.0012861,            0.024836
                 106,            0.049216,            0.013011,                   0,            0.010958,             0.27885,           0.0075115,           0.0013387,            0.031773,           0.0061886,                   0,           0.0012912,           0.0012912,            0.024591
                 107,            0.048936,            0.012408,                   0,            0.011813,             0.30769,           0.0074034,            0.001573,            0.031983,           0.0062616,                   0,           0.0012962,           0.0012962,            0.024346
                 108,            0.048789,            0.012016,                   0,            0.013039,             0.31731,           0.0093739,           0.0016272,            0.031999,            0.006389,                   0,            0.001301,            0.001301,            0.024101
                 109,            0.048807,            0.011827,                   0,            0.010872,             0.28846,           0.0066024,           0.0011079,            0.032301,           0.0063926,                   0,           0.0013056,           0.0013056,            0.023856
                 110,            0.047932,            0.013994,                   0,            0.010863,             0.35577,           0.0076939,           0.0011903,              0.0322,           0.0061103,                   0,             0.00131,             0.00131,             0.02361
                 111,            0.049378,            0.011989,                   0,            0.025599,            0.028846,           0.0089944,           0.0015557,            0.031475,           0.0060529,                   0,           0.0013143,           0.0013143,            0.023364
                 112,            0.048968,            0.013465,                   0,            0.016405,             0.18269,           0.0099657,           0.0016435,             0.03182,           0.0060362,                   0,           0.0013184,           0.0013184,            0.023118
                 113,            0.047078,            0.012442,                   0,            0.015245,             0.10577,           0.0086387,           0.0013026,            0.031396,           0.0060886,                   0,           0.0013224,           0.0013224,            0.022872
                 114,            0.048683,             0.01205,                   0,            0.036981,            0.028846,           0.0093728,           0.0016485,            0.031302,           0.0060449,                   0,           0.0013261,           0.0013261,            0.022626
                 115,            0.044874,            0.013494,                   0,            0.022216,             0.13462,            0.010538,           0.0017686,            0.030954,           0.0060602,                   0,           0.0013297,           0.0013297,             0.02238
                 116,            0.049141,            0.013185,                   0,            0.031264,            0.038462,           0.0092566,           0.0017999,            0.030957,           0.0060764,                   0,           0.0013331,           0.0013331,            0.022133
                 117,            0.049424,            0.013035,                   0,            0.064027,            0.048077,             0.01837,           0.0029182,            0.031303,           0.0060357,                   0,           0.0013364,           0.0013364,            0.021886
                 118,            0.048674,            0.011877,                   0,            0.019012,             0.18269,           0.0092467,           0.0017561,            0.031179,           0.0060296,                   0,           0.0013395,           0.0013395,            0.021639
                 119,            0.044834,            0.012103,                   0,            0.016017,             0.10577,           0.0089995,           0.0016743,            0.031511,           0.0060143,                   0,           0.0013424,           0.0013424,            0.021392
                 120,            0.050453,            0.012171,                   0,            0.083491,            0.019231,           0.0089856,           0.0013029,            0.031679,           0.0060077,                   0,           0.0013452,           0.0013452,            0.021145
                 121,            0.047325,            0.012749,                   0,            0.014724,            0.048077,           0.0080012,           0.0014534,             0.03165,           0.0059982,                   0,           0.0013477,           0.0013477,            0.020898
                 122,            0.045562,            0.011759,                   0,            0.092515,            0.028846,            0.012459,           0.0027565,            0.031615,           0.0059624,                   0,           0.0013502,           0.0013502,             0.02065
                 123,             0.04817,             0.01323,                   0,            0.024419,            0.048077,            0.010111,           0.0015917,            0.031738,           0.0059452,                   0,           0.0013524,           0.0013524,            0.020402
                 124,            0.047656,            0.013409,                   0,            0.041033,            0.038462,           0.0083942,           0.0014929,            0.031909,           0.0059316,                   0,           0.0013545,           0.0013545,            0.020154
                 125,            0.048196,            0.013422,                   0,            0.022912,            0.038462,           0.0071196,            0.001138,            0.032073,           0.0059431,                   0,           0.0013564,           0.0013564,            0.019906
